# Loading files
# Cleaning
# Resumming for case collapsing
# Computing context sum
# Sorting by context
# Merging
# Deleting Gcontext
# Sorting by word
# Computing surprisal
Word	Orthographic.Length	Surprisal	Log.Frequency	Total.Context.Count
"0" 	1 	4.56413165058 	3.0 	3
"0000" 	4 	6.58871463558 	2.0 	1
"007" 	3 	0.0 	2.0 	1
"01" 	2 	5.74592654816 	2.0 	2
"06" 	2 	10.266807119 	2.58496250072 	2
"1" 	1 	7.10404126007 	9.91139198784 	129
"10" 	2 	5.19793612869 	6.32192809489 	15
"100" 	3 	11.2238413296 	4.58496250072 	5
"1000" 	4 	7.40856341618 	4.32192809489 	5
"1006" 	4 	13.1533541067 	2.0 	1
"1023" 	4 	13.1533541067 	2.0 	1
"1045" 	4 	7.57742882804 	1.0 	1
"106" 	3 	1.0 	2.0 	1
"107" 	3 	11.0115767032 	2.0 	1
"109" 	3 	1.0 	3.0 	2
"11" 	2 	7.01695054552 	6.12928301694 	13
"113" 	3 	1.58496250072 	2.0 	1
"114" 	3 	7.48035451439 	3.0 	2
"117" 	3 	2.0 	2.0 	1
"12" 	2 	4.40174776357 	5.32192809489 	9
"120" 	3 	3.55532125445 	4.0 	3
"122" 	3 	0.0 	2.0 	1
"123" 	3 	2.32192809489 	2.0 	1
"1230" 	4 	13.1533541067 	2.0 	1
"124" 	3 	7.45884920098 	3.0 	2
"1244" 	4 	13.1533541067 	2.0 	1
"125" 	3 	13.917698402 	2.0 	1
"127" 	3 	7.45884920098 	3.0 	2
"129" 	3 	0.0 	2.0 	1
"13" 	2 	4.57936034351 	5.64385618977 	8
"131" 	3 	0.5 	3.0 	2
"1324" 	4 	7.57742882804 	1.0 	1
"133" 	3 	3.16719897239 	3.32192809489 	3
"1332" 	4 	13.917698402 	2.0 	1
"1340" 	4 	13.0601470493 	3.0 	1
"137" 	3 	3.80735492206 	1.0 	1
"1373" 	4 	13.1533541067 	2.0 	1
"1378" 	4 	7.57742882804 	1.0 	1
"138" 	3 	1.58496250072 	2.0 	1
"1380" 	4 	7.57742882804 	1.0 	1
"1381" 	4 	13.6237003605 	3.32192809489 	2
"1384" 	4 	7.57742882804 	1.0 	1
"1398" 	4 	13.1533541067 	2.0 	1
"14" 	2 	6.24012827694 	5.52356195606 	10
"140" 	3 	4.20150601179 	3.0 	2
"1401" 	4 	7.57742882804 	1.0 	1
"1402" 	4 	14.0601470493 	2.0 	1
"141" 	3 	1.58496250072 	2.0 	1
"1418" 	4 	7.57742882804 	1.0 	1
"142" 	3 	1.0 	2.0 	1
"1421" 	4 	14.0601470493 	2.0 	1
"146" 	3 	1.32192809489 	2.0 	1
"1460" 	4 	5.12928301694 	0.0 	1
"147" 	3 	1.0 	2.0 	1
"1477" 	4 	13.1533541067 	2.0 	1
"1478" 	4 	12.2187145811 	2.0 	1
"1483" 	4 	6.41407814216 	3.32192809489 	2
"1485" 	4 	7.31288295528 	2.0 	1
"1487" 	4 	12.0601470493 	4.0 	1
"1494" 	4 	14.917698402 	1.0 	1
"1499" 	4 	7.57742882804 	1.0 	1
"15" 	2 	5.92130341168 	4.80735492206 	7
"1501" 	4 	13.1533541067 	2.0 	1
"1506" 	4 	13.1533541067 	2.0 	1
"1507" 	4 	12.1533541067 	3.0 	1
"1508" 	4 	12.1533541067 	3.0 	1
"1509" 	4 	13.1533541067 	2.0 	1
